1,954,70
2,704,87
3,999,99
4,229,37
5,418,19
6,660,97
7,782,83
8,114,7
9,884,84
10,340,76
11,7,56
12,811,78
13,553,76
14,714,80
15,686,9
16,12,63
17,251,46
18,583,96
19,584,51
20,642,24
21,763,88
22,212,41
23,416,50
24,682,85
25,278,69
26,806,81
27,928,35
28,923,83
29,281,93
30,320,84
31,844,84
32,476,32
33,131,23
34,161,26
35,863,90
36,844,32
37,398,53
38,589,50
39,731,34
40,219,61
41,974,34
42,234,23
43,641,56
44,241,13
45,927,60
46,1,94
47,120,73
48,825,6
49,17,71
50,762,36
51,883,49
52,853,82
53,820,87
54,683,53
55,55,69
56,414,65
57,454,48
58,704,34
59,593,74
60,49,72
61,945,59
62,714,72
63,690,44
64,917,29
65,403,22
66,197,76
67,443,13
68,110,71
69,291,8
70,684,83
71,106,44
72,382,73
73,242,43
74,189,71
75,765,52
76,425,55
77,85,9
78,898,62
79,408,99
80,445,11
81,950,50
82,772,95
83,946,27
84,180,90
85,589,85
86,418,64
87,901,68
88,715,92
89,357,99
90,511,80
91,165,72
92,413,58
93,576,97
94,312,83
95,432,92
96,13,74
97,413,5
98,302,85
99,663,55
100,511,99
101,736,61
102,811,26
103,202,47
104,717,9
105,859,92
106,537,24
107,988,56
108,509,88
109,523,9
110,254,99
111,616,34
112,660,98
113,934,57
114,626,5
115,907,54
116,778,62
117,191,47
118,990,17
119,994,53
120,331,100
121,991,98
122,138,6
123,928,13
124,967,64
125,26,83
126,660,78
127,197,63
128,319,56
129,160,7
130,128,14
131,616,7
132,275,18
133,25,17
134,499,51
135,501,98
136,259,47
137,421,58
138,397,49
139,158,74
140,418,68
141,528,6
142,580,32
143,265,29
144,718,35
145,732,90
146,761,12
147,851,80
148,883,38
149,561,28
150,160,44
151,234,36
152,773,64
153,82,7
154,574,78
155,468,95
156,307,19
157,879,8
158,532,60
159,518,6
160,229,75
161,604,62
162,76,70
163,693,66
164,103,22
165,990,93
166,51,80
167,580,10
168,718,49
169,113,49
170,323,41
171,55,16
172,648,82
173,629,80
174,237,68
175,799,29
176,146,79
177,720,74
178,752,61
179,66,90
180,658,50
181,464,13
182,119,81
183,415,75
184,203,67
185,385,27
186,662,32
187,490,68
188,589,20
189,34,61
190,231,84
191,927,79
192,920,33
193,534,19
194,135,95
195,955,43
196,152,99
197,150,7
198,919,98
199,268,74
200,490,27
201,140,93
202,202,80
203,326,8
204,304,46
205,299,53
206,861,49
207,304,70
208,822,93
209,875,84
210,273,59
211,545,80
212,305,20
213,769,67
214,983,99
215,504,36
216,565,6
217,221,10
218,123,28
219,880,35
220,690,43
221,530,68
222,149,8
223,809,82
224,554,24
225,671,71
226,966,42
227,763,29
228,253,35
229,99,97
230,318,95
231,54,66
232,913,55
233,396,35
234,408,44
235,671,53
236,391,96
237,915,100
238,48,78
239,481,17
240,298,45
241,6,15
242,307,76
243,735,68
244,410,61
245,957,32
246,533,53
247,176,65
248,971,89
249,286,44
250,831,73
251,17,38
252,629,60
253,629,9
254,567,31
255,486,75
256,714,66
257,35,48
258,240,79
259,651,24
260,398,19
261,148,71
262,95,37
263,746,18
264,781,10
265,387,47
266,196,10
267,290,9
268,356,52
269,956,22
270,280,13
271,864,89
272,369,40
273,242,36
274,610,77
275,539,27
276,548,39
277,892,16
278,213,59
279,595,13
280,333,20
281,690,9
282,336,63
283,338,39
284,226,85
285,143,80
286,713,6
287,568,53
288,113,54
289,549,81
290,227,53
291,454,81
292,460,17
293,219,81
294,850,48
295,372,46
296,97,12
297,403,92
298,356,14
299,561,68
300,875,45
301,462,95
302,110,42
303,286,81
304,896,95
305,768,29
306,424,72
307,568,33
308,137,20
309,838,36
310,368,15
311,447,53
312,248,19
313,261,18
314,641,21
315,152,35
316,23,53
317,13,12
318,73,29
319,545,38
320,528,29
321,904,43
322,628,36
323,683,81
324,177,48
325,982,99
326,298,48
327,345,9
328,84,22
329,944,94
330,109,19
331,989,14
332,893,26
333,734,11
334,590,35
335,606,30
336,876,32
337,807,85
338,433,94
339,639,57
340,539,70
341,723,79
342,741,17
343,221,60
344,132,52
345,87,21
346,223,90
347,701,90
348,444,6
349,141,40
350,936,92
351,636,89
352,6,78
353,668,71
354,669,21
355,150,15
356,373,86
357,254,73
358,895,79
359,864,58
360,447,40
361,389,32
362,257,12
363,384,38
364,918,64
365,291,56
366,952,71
367,673,51
368,765,68
369,861,90
370,984,7
371,529,69
372,413,80
373,657,82
374,214,21
375,742,78
376,603,43
377,320,8
378,311,58
379,478,9
380,212,24
381,464,82
382,209,43
383,876,58
384,304,75
385,644,53
386,429,38
387,846,100
388,442,92
389,632,26
390,697,82
391,576,60
392,876,42
393,923,59
394,586,21
395,308,41
396,557,93
397,72,10
398,541,30
399,549,11
400,46,80
401,191,77
402,541,16
403,975,62
404,317,90
405,701,35
406,801,26
407,954,41
408,115,10
409,219,42
410,407,62
411,784,6
412,17,75
413,287,86
414,469,56
415,468,34
416,589,14
417,485,6
418,435,95
419,67,50
420,70,60
421,390,71
422,488,86
423,479,95
424,809,34
425,706,66
426,509,66
427,759,21
428,306,63
429,892,83
430,992,70
431,976,76
432,55,55
433,554,49
434,400,41
435,924,16
436,562,72
437,878,17
438,895,69
439,950,93
440,842,37
441,452,29
442,63,67
443,548,37
444,423,89
445,860,19
446,267,66
447,374,47
448,382,84
449,551,89
450,496,46
451,787,11
452,216,99
453,620,71
454,141,30
455,81,27
456,440,33
457,297,45
458,971,32
459,111,92
460,594,22
461,146,50
462,663,78
463,97,47
464,49,72
465,190,96
466,654,85
467,35,71
468,311,8
469,445,55
470,755,73
471,256,71
472,811,79
473,639,94
474,903,46
475,387,28
476,43,45
477,210,74
478,689,89
479,163,82
480,754,95
481,20,74
482,787,63
483,288,68
484,340,51
485,622,94
486,238,93
487,811,46
488,975,79
489,329,85
490,597,52
491,301,59
492,69,33
493,761,52
494,315,98
495,427,56
496,526,36
497,55,68
498,398,37
499,430,50
500,938,11
501,406,15
502,254,82
503,363,65
504,287,72
505,154,6
506,902,81
507,918,38
508,947,96
509,217,37
510,155,97
511,100,24
512,777,76
513,247,77
514,191,74
515,32,78
516,876,92
517,547,21
518,942,88
519,668,95
520,146,67
521,429,8
522,88,46
523,269,59
524,140,14
525,401,60
526,43,21
527,70,45
528,802,91
529,308,33
530,196,89
531,694,69
532,622,72
533,282,86
534,870,60
535,510,41
536,406,77
537,172,88
538,902,15
539,327,46
540,330,34
541,944,14
542,479,92
543,496,8
544,213,37
545,379,72
546,883,91
547,790,94
548,965,19
549,289,46
550,107,31
551,136,80
552,966,93
553,392,95
554,877,56
555,648,89
556,765,82
557,923,53
558,458,63
559,193,28
560,825,11
561,46,94
562,792,17
563,128,12
564,208,29
565,124,47
566,930,81
567,714,72
568,60,56
569,963,16
570,398,80
571,175,67
572,425,36
573,216,45
574,174,27
575,301,27
576,467,43
577,209,7
578,165,77
579,17,43
580,429,93
581,623,50
582,655,63
583,337,10
584,737,57
585,604,93
586,22,22
587,697,20
588,496,62
589,80,14
590,113,20
591,740,98
592,252,54
593,289,27
594,73,18
595,248,91
596,303,39
597,781,88
598,103,74
599,54,5
600,28,60
601,447,64
602,551,20
603,469,86
604,671,81
605,451,17
606,7,33
607,948,42
608,777,21
609,292,29
610,558,36
611,479,14
612,999,83
613,602,50
614,188,10
615,440,70
616,312,45
617,715,80
618,359,69
619,496,39
620,761,70
621,473,55
622,188,83
623,407,70
624,768,16
625,215,9
626,276,47
627,536,83
628,634,17
629,419,28
630,142,66
631,202,24
632,363,53
633,986,52
634,470,59
635,970,27
636,125,71
637,737,87
638,804,94
639,449,19
640,667,75
641,301,78
642,136,25
643,125,81
644,796,60
645,194,100
646,860,24
647,317,40
648,602,80
649,562,11
650,899,48
651,379,43
652,413,70
653,758,80
654,422,47
655,857,9
656,657,33
657,645,26
658,456,34
659,443,33
660,644,60
661,283,89
662,880,70
663,207,84
664,25,57
665,433,54
666,734,67
667,760,25
668,131,69
669,161,68
670,508,32
671,738,95
672,637,53
673,641,63
674,111,95
675,218,57
676,53,69
677,178,21
678,492,5
679,450,84
680,335,75
681,340,47
682,481,58
683,627,26
684,514,25
685,98,52
686,287,79
687,194,21
688,625,66
689,782,63
690,194,26
691,638,20
692,351,34
693,718,64
694,470,89
695,526,41
696,761,19
